sample_index,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,rkf_locally_better,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
6,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
7,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
8,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
9,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
